next_item,prev_items
B0046U4CGS,"['B01NBMYWIN', 'B01NCPFGQ3', 'B01N0U5UDH']"
B0B63T3HGD,"['B09RQDZDF7', 'B09JXY17B6', 'B004PYD9QE']"
B08FRDSKK8,"['B082DYJF52', 'B08TWZD1H4', 'B082DYJF52']"
B007EA03UQ,"['B079KJLDF2', 'B08J4H9RSW', 'B074RCV4HQ']"
B0838CF4T4,"['B07PNL5STG', 'B07PNL5STG', 'B08KXPF5NK']"
B07FX4H6N5,"['B001D0YI7M', 'B09QGX2Y8G', 'B09PZ9PFKB']"
B0859YRVFG,"['B07PPQP46V', 'B07PRZ9XQ5', 'B0859Z1LXL']"
B016RAAUEM,"['B084Z1TLR2', 'B07YLKCQZT', 'B08DGPKWWR']"
B07JQP2719,"['B099HH2QD4', 'B099HBQG2W', 'B099HBQG2W']"
B09PB91D74,"['B09TDD4H8N', 'B09TDD4H8N', 'B0BD6C5Q7F']"
B0B5XJRKRY,"['B0B5LMQH28', 'B0B7H8X7NF', 'B0B7H8X7NF']"
B09TB6V5HG,"['B07SM8NL5G', 'B07K4FGLMS', 'B0B55QHZM8']"
B08RQM9P47,"['B09G3D1KBL', 'B09G3C4PF7', 'B08XFFLB76']"
B087JNRW35,"['B004WCKSFE', 'B0041WD050', 'B08VDP5VT5']"
1529087058,"['B07DPHBFYM', 'B07121WVTH', 'B09VLKNP75']"
B00VP2SSFG,"['B002OE2V1G', 'B0182QCU7E', 'B0BCLGK9DD']"
B09TQZNKBB,"['B0B5WBDHGR', 'B0BB28SJQQ', 'B01KNWYGMW']"
B07LH5QCL5,"['B07LH5QTLV', 'B0B88PY5CC', 'B07LH56K7F']"
B00D4R55W4,"['B000IU40HQ', 'B01CRBEUVO', 'B00D4R563M']"
B072ZVX9QM,"['B09CYQ37NQ', 'B00WJF8V5A', 'B00WJF8V5A']"
B000KHTES2,"['B07FQJ677M', 'B07ZQH4VSC', 'B01117UI7K']"
B0B7S2GD7R,"['B08DFDP1TR', 'B08DFGPTSK', 'B08DFDP1TR']"
B006L68XTC,"['B008F8PMUC', 'B001RYNMDA', 'B006CKZWD2']"
B076KR5TJC,"['B0B6YXCWK4', 'B07B5S36DP', 'B00S1FEBKG']"
B00L4BI5VA,"['B00L4BI3U8', 'B00L4BI1ZK', 'B00L4BI6UK']"
B08JS2MPK3,"['B0B1553127', 'B0B1553C4J', 'B00YTYV8YA']"
B08JMFHLRB,"['B0B5GQ398X', 'B00F1DNYPE', 'B00NFRTVY6']"
B09GBY7632,"['B0BF51VV1Y', 'B08H99878P', 'B0BF51VV1Y']"
B07DDGW2GM,"['B0BG912PV7', 'B08KS629FP', 'B015RSDMWM']"
B08PKKTZY5,"['B08F2NDB39', 'B08PKLFM9T', 'B08F2NDB39']"
B09YHXW7V5,"['B00W5VI7Y8', 'B092DK1Z3Y', 'B092DK1Z3Y']"
B09RFY7P7F,"['B09GBDY9D6', 'B09DDFDJKR', 'B09BZR9JFG']"
B09QGXNLNJ,"['B01HEEVI1O', 'B001D0YI7M', 'B09QGX2Y8G']"
B09YTYW7LM,"['B08ZNRFQBM', 'B08K3KKNBY', 'B08ZNTM1X1']"
B07X8L2C5Z,"['1471156265', '0008462410', '0008462410']"
B06XBBS1WP,"['B0182QCU7E', 'B06XB9Q6ZX', 'B076631ZSK']"
B08F681PH6,"['B08H3ZPN6K', 'B08F6CSTK1', 'B08F67XG18']"
